,song,artist,Last Week Ranking,Peak Ranking,Weeks on Chart
0,Lovin On Me,Jack Harlow,1,1,14
1,Texas Hold 'Em,Beyonce,2,1,-
2,Carnival,¥$: Kanye West & Ty Dolla $ign,3,1,-
3,Beautiful Things,Benson Boone,3,3,4
4,Lose Control,Teddy Swims,2,2,27
5,Cruel Summer,Taylor Swift,4,1,41
6,Snooze,SZA,5,2,61
7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6,1,25
8,Greedy,Tate McRae,7,3,22
9,Stick Season,Noah Kahan,11,10,20
10,Fast Car,Luke Combs,8,2,47
11,Agora Hills,Doja Cat,9,7,21
12,Water,Tyla,12,7,20
13,Last Night,Morgan Wallen,15,1,55
14,Redrum,21 Savage,14,5,5
15,Thinkin' Bout Me,Morgan Wallen,16,7,50
16,Flowers,Miley Cyrus,10,1,52
17,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,18,1,16
18,Paint The Town Red,Doja Cat,17,1,28
19,Yeah!,Usher Featuring Lil Jon & Ludacris,1,46,-
20,Never Lose Me,Flo Milli,19,18,9
21,La Diabla,Xavi,25,20,9
22,Fuk Sumn,¥$: Kanye West & Ty Dolla $ign,23,1,-
23,Pretty Little Poison,Warren Zeiders,24,24,23
24,Houdini,Dua Lipa,22,11,14
25,Back To Me,¥$: Kanye West & Ty Dolla $ign,26,1,-
26,What Was I Made For?,Billie Eilish,20,14,30
27,Forever,Noah Kahan,28,1,-
28,Where The Wild Things Are,Luke Combs,26,26,13
29,Talking,¥$: Kanye West & Ty Dolla $ign Featuring North West,30,1,-
30,"Yes, And?",Ariana Grande,21,1,5
31,Made For Me,Muni Long,28,28,5
32,Burn,¥$: Kanye West & Ty Dolla $ign,33,1,-
33,Vultures,¥$: Kanye West & Ty Dolla $ign Featuring Lil Durk & Bump J,34,1,-
34,The Painter,Cody Johnson,30,30,19
35,Good Good,"Usher, Summer Walker & 21 Savage",45,25,27
36,Selfish,Justin Timberlake,23,19,3
37,16 Carriages,Beyonce,38,1,-
38,Stars,¥$: Kanye West & Ty Dolla $ign,39,1,-
39,Everybody,Nicki Minaj Featuring Lil Uzi Vert,27,24,10
40,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,32,11,19
41,Feather,Sabrina Carpenter,36,36,11
42,Vampire,Olivia Rodrigo,29,1,30
43,On My Mama,Victoria Monet,33,33,22
44,Wild Ones,Jessie Murph & Jelly Roll,35,35,19
45,Dance The Night,Dua Lipa,37,6,33
46,Save Me,Jelly Roll With Lainey Wilson,40,19,32
47,Hiss,Megan Thee Stallion,13,1,3
48,Exes,Tate McRae,34,34,13
49,Need A Favor,Jelly Roll,39,13,44
50,Truck Bed,HARDY,46,36,35
51,Do It,¥$: Kanye West & Ty Dolla $ign,52,1,-
52,Paid,¥$: Kanye West & Ty Dolla $ign,53,1,-
53,Surround Sound,JID Featuring 21 Savage & Baby Tate,48,40,14
54,Keys To My Life,¥$: Kanye West & Ty Dolla $ign,55,1,-
55,World On Fire,Nate Smith,44,21,16
56,First Person Shooter,Drake Featuring J. Cole,47,1,19
57,La Victima,Xavi,56,46,9
58,Get In With Me,BossMan Dlow,68,59,2
59,Burn It Down,Parker McCollum,55,52,17
60,Standing Next To You,Jung Kook,81,5,15
61,Think U The Shit (Fart),Ice Spice,52,37,3
62,Praise Jah In The Moonlight,YG Marley,60,60,3
63,Paperwork,¥$: Kanye West & Ty Dolla $ign,64,1,-
64,Beg Forgiveness,¥$: Kanye West & Ty Dolla $ign,65,1,-
65,Man Made A Bar,Morgan Wallen Featuring Eric Church,63,15,21
66,Hoodrat,¥$: Kanye West & Ty Dolla $ign,67,1,-
67,One Call,Rich Amiri,64,64,3
68,Igual Que Un Angel,Kali Uchis & Peso Pluma,53,22,5
69,Spin You Around (1/24),Morgan Wallen,51,24,3
70,FTCU,Nicki Minaj,54,15,10
71,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp",57,57,8
72,Murder On The Dancefloor,Sophie Ellis-Bextor,59,51,7
73,You Broke My Heart,Drake,65,11,13
74,Northern Attitude,Noah Kahan With Hozier,97,37,11
75,FE!N,Travis Scott Featuring Playboi Carti,69,5,16
76,23,Chayce Beckham,74,64,7
77,Bandit,Don Toliver,38,38,2
78,Problematic,¥$: Kanye West & Ty Dolla $ign,79,1,-
79,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",58,10,5
80,Act II: Date @ 8,4Batz,61,59,6
81,I Can Feel It,Kane Brown,73,59,7
82,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,78,55,7
83,Soak City,310babii,76,61,9
84,Harley Quinn,Fuerza Regida & Marshmello,67,40,15
85,You're Gonna Go Far,Noah Kahan,86,1,-
86,Bellakeo,Peso Pluma & Anitta,70,53,9
87,IDGAF,Drake Featuring Yeat,72,2,19
88,Yeah Glo!,GloRilla,89,1,-
89,Different 'Round Here,Riley Green Featuring Luke Combs,66,60,11
90,She Calls Me Back,Noah Kahan With Kacey Musgraves,76,2,-
91,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,79,67,9
92,Good (Don't Die),¥$: Kanye West & Ty Dolla $ign,93,1,-
93,King,¥$: Kanye West & Ty Dolla $ign,94,1,-
94,Coal,Dylan Gossett,86,86,6
95,Mmhmm,BigXthaPlug,83,65,8
96,Monaco,Bad Bunny,77,5,18
97,Prove It,21 Savage & Summer Walker,75,43,5
98,Perro Negro,Bad Bunny & Feid,82,20,15
99,Sunday Service,Latto,100,1,-
