,song,artist,genre,release_date
0,TEXAS HOLD 'EM,Beyoncé,Country," February 11, 2024"
1,Lose Control,Teddy Swims,Pop," June 23, 2023"
2,Beautiful Things,Benson Boone,Pop," January 19, 2024"
3,TEXAS HOLD 'EM,Beyoncé,Country," February 9, 2024"
4,dont let me go,mgk,New Release, Hip-Hop / Rap
5,Flowers,Miley Cyrus,Pop," January 12, 2023"
6,Lovin On Me,Jack Harlow,Hip-Hop / Rap," February 23, 2022"
7,Don't Let the Old Man In,Toby Keith,Country," December 7, 2018"
8,Selfish,Justin Timberlake,Pop," January 25, 2024"
9,Beautiful Messes,Hillary Scott & The Scott Family,Country," July 8, 2016"
10,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Country," January 27, 2023"
11,Made For Me,Muni Long,R&B / Soul," September 15, 2023"
12,Turn the Lights Back On,Billy Joel,Pop," February 1, 2024"
13,Where the Wild Things Are,Luke Combs,Country," March 24, 2023"
14,Fast Car,Luke Combs,Country," March 24, 2023"
15,Save Me,Jelly Roll,Apple Music / iTunes," June 25, 2020"
16,Houdini,Dua Lipa,Pop," November 9, 2023"
17,16 CARRIAGES,Beyoncé,Country," February 11, 2024"
18,Lil Boo Thang,Paul Russell,Pop," August 18, 2023"
19,Live Like You Were Dying,Tim McGraw,Country," June 7, 2004"
20,Need a Favor,Jelly Roll,Country," December 9, 2022"
21,Powerful Women,Pitbull & Dolly Parton,Pop," February 15, 2024"
22,Fast Car,Tracy Chapman,Apple Music / iTunes," April 1, 1988"
23,Spin You Around (1/24),Morgan Wallen,Country," January 26, 2024"
24,Training Season,Dua Lipa,New Release, Pop
25,Spicy Margarita,Jason Derulo & Michael Bublé,Pop," January 25, 2024"
26,Cruel Summer,Taylor Swift,Pop," August 23, 2019"
27,Save Me (with Lainey Wilson),Jelly Roll,Country," February 1, 2023"
28,Yeah! (feat. Lil Jon & Ludacris),USHER,R&B / Soul," January 10, 2004"
29,Let's Go,Key Glock,Hip-Hop / Rap," June 23, 2023"
30,White Horse,Chris Stapleton,Country," July 21, 2023"
31,Good Day,Forrest Frank,Christian & Gospel," January 19, 2024"
32,Three Little Birds,Bob Marley & The Wailers,Reggae," May 8, 1984"
33,Wildflowers and Wild Horses (Single Version),Lainey Wilson,Country," November 10, 2023"
34,Thinkin’ Bout Me,Morgan Wallen,Country," March 3, 2023"
35,Should've Been a Cowboy,Toby Keith,Country," January 1, 1993"
36,Pretty Little Poison,Warren Zeiders,Country," March 17, 2023"
37,Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor,Dance," January 1, 2002"
38,Standing Next to You (Usher Remix),Jung Kook & USHER,K-Pop," December 1, 2023"
39,Stick Season,Noah Kahan,Alternative," July 8, 2022"
40,Standing Next to You,Jung Kook,K-Pop," November 3, 2023"
41,"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,Alternative," July 13, 2023"
42,Devil You Know,Tyler Braden,Country," February 2, 2024"
43,Lead Me Home,Jamey Johnson,Country," January 31, 2006"
44,The Door,Teddy Swims,Pop," September 15, 2023"
45,Nothing's Gonna Stop Us Now,Starship,Rock," January 1, 1987"
